zip,city,state,numbers
78132,New Braunfels,TX,75
78840,Del Rio,TX,19
77372,Splendora,TX,57
77362,Pinehurst,TX,6
29425,Charleston,SC,252
29501,Florence,SC,119
10960,Nyack,NY,36
12603,Poughkeepsie,NY,36
12553,New Windsor,NY,3
10977,Spring Valley,NY,27
60123,Elgin,IL,3
60005,Arlington Heights,IL,31
60087,Waukegan,IL,2
60060,Mundelein,IL,136
32306,Tallahassee,FL,212
32503,Pensacola,FL,283
32511,Pensacola,FL,46
08033,Haddonfield,NJ,1111
08094,Williamstown,NJ,1
08098,Woodstown,NJ,3
08103,Camden,NJ,414
08009,Berlin,NJ,1
08107,Oaklyn,NJ,198
08361,Vineland,NJ,3
08097,Woodbury Heights,NJ,0
08057,Moorestown,NJ,1
08302,Bridgeton,NJ,13
08108,Collingswood,NJ,7
92130,San Diego,CA,417
92145,San Diego,CA,4
40508,Lexington,KY,3599
06152,Lexington,KY,1521
06340,Groton,CT,2
33880,Winter Haven,FL,326
33815,Lakeland,FL,844
29302,Spartanburg,SC,787
29611,Greenville,SC,486
29615,Greenville,SC,31
29341,Gaffney,SC,4
29621,Anderson,SC,16
29325,Clinton,SC,2
37909,Knoxville,TN,239
37929,Knoxville,TN,1690
38105,Memphis,TN,337
38137,Memphis,TN,102
38135,Memphis,TN,295
75402,Greenville,TX,94
75109,Corsicana,TX,2
75092,Sherman,TX,166
32086,Saint Augustine,FL,27
32204,Jacksonville,FL,22
32216,Jacksonville,FL,1
32202,Jacksonville,FL,2
32257,Jacksonville,FL,469
07202,Elizabeth,NJ,422
07088,Vauxhall,NJ,21
07931,Far Hills,NJ,2
91711,Claremont,CA,129
92408,San Bernardino,CA,72
91764,Ontario,CA,153
92507,Riverside,CA,626
92882,Corona,CA,4
92313,Grand Terrace,CA,475
92545,Hemet,CA,1
92401,San Bernardino,CA,2
92504,Riverside,CA,0
28409,Wilmington,NC,2
28352,Laurinburg,NC,164
28379,Rockingham,NC,3
66118,Kansas City,KS,19
10703,Yonkers,NY,731
10606,White Plains,NY,1354
10552,Mount Vernon,NY,7
10566,Peekskill,NY,7
79911,El Paso,TX,1170
95816,Sacramento,CA,7270
95670,Rancho Cordova,CA,4
10010,New York,NY,22035
11213,Brooklyn,NY,7187
11211,Brooklyn,NY,82
10016,New York,NY,48
10029,New York,NY,7
11363,Little Neck,NY,38
11372,Jackson Heights,NY,4
10041,Jackson Heights,NY,452
74120,Tulsa,OK,3377
74146,Tulsa,OK,467
27617,Raleigh,NC,2718
27701,Durham,NC,5
27516,Chapel Hill,NC,1894
27706,Chapel Hill,NC,95
27609,Raleigh,NC,83
27517,Chapel Hill,NC,205
27607,Raleigh,NC,44
27531,Goldsboro,NC,1131
54902,Oshkosh,WI,460
54911,Appleton,WI,22
54301,Green Bay,WI,73
54937,Fond Du Lac,WI,1
94595,Walnut Creek,CA,122
94509,Antioch,CA,1
94568,Dublin,CA,6
37174,Spring Hill,TN,1
38401,Columbia,TN,29
77320,Huntsville,TX,32
45422,Huntsville,TX,4816
45323,Enon,OH,199
45344,New Carlisle,OH,1
76209,Denton,TX,41
34237,Sarasota,FL,63
92614,Irvine,CA,5
33301,Fort Lauderdale,FL,1238
33308,Fort Lauderdale,FL,469
33319,Fort Lauderdale,FL,131
78503,Mcallen,TX,125
78539,Edinburg,TX,372
78043,Laredo,TX,163
78552,Harlingen,TX,314
78521,Brownsville,TX,298
75051,Grand Prairie,TX,3857
75061,Irving,TX,325
75454,Melissa,TX,1
07960,Morristown,NJ,408
07999,Morristown,NJ,0
07505,Paterson,NJ,6
07055,Passaic,NJ,308
77801,Bryan,TX,748
77566,Lake Jackson,TX,116
77515,Angleton,TX,2
77833,Brenham,TX,5
